,id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
24,binance-usd,25,BUSD,BUSD,2102166467.7081714000000000,,2101605032.1465565129653167,60785017.9729243677227923,0.9997329252605637,-0.0590128268333424,1.0008644060944385,https://etherscan.io/token/0x4Fabb145d64652a948d72533023f6E7A623C7C53
25,cosmos,26,ATOM,Cosmos,248453201.0000000000000000,,1680915357.3087184601269813,34529323.9503446999058714,6.7655210339138213,2.0600918375975948,6.6340043647676345,https://www.mintscan.io/
26,bitcoin-bep2,27,BTCB,Bitcoin BEP2,53880.6269036100000000,,1635876161.4555252594505289,14169780.1726632640081921,30361.1196726057695040,1.4260699015762556,29947.1494634124867117,https://explorer.binance.org/asset/BTCB-1DE
27,filecoin,28,FIL,Filecoin,459464729.0000000000000000,,1596603717.9497336197769152,69164858.8436821249241979,3.4749211793137088,3.5029196684566402,3.3888788617052229,https://protocol.ai
28,lido-dao,29,LDO,Lido DAO,890298249.8218662000000000,1000000000.0000000000000000,1549792018.4875204946923183,7608584.5894526768934337,1.7407559981136748,5.5399030564389845,1.6799018516631593,https://etherscan.io/token/0x5a98fcbea516cf06857215779fd812ca3bef1b32
29,internet-computer,30,ICP,Internet Computer,446971734.8123401400000000,,1469575279.8618523038903307,8056153.7546877390966897,3.2878483479024674,2.4889160497927473,3.1912630498876998,https://www.dfinityexplorer.org/#/
30,maker,31,MKR,Maker,977631.0369508900000000,1005577.0000000000000000,1439776475.0463845605957946,21704920.2402576618618658,1472.7196873135992965,2.6796748080050800,1431.8452593657383941,https://etherscan.io/token/Maker
31,crypto-com-coin,32,CRO,Crypto.com Coin,25263013692.0000000000000000,30263013692.0000000000000000,1359553057.4917078866267756,1672164.5578640642294501,0.0538159490418293,1.2812826235728778,0.0533717436664236,https://etherscan.io/token/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
32,vechain,33,VET,VeChain,72714516834.0000000000000000,86712634466.0000000000000000,1300561926.0180934031580588,34574860.7387158395742969,0.0178858635475382,4.9778871789261880,0.0172651714303114,https://explore.veforge.com/
33,aave,34,AAVE,Aave,14588271.2405068500000000,16000000.0000000000000000,1176234078.4774219573654348,139681091.3434777486673244,80.6287502532448989,15.2165935131513959,75.8557559349275226,https://etherscan.io/token/0x80fB784B7eD66730e8b1DBd9820aFD29931aab03
